ID,Description_lang,TierID,Flags,ColumnIndex,TabID,ClassID,SpecID,SpellID,OverridesSpellID,RequiredSpellID,CategoryMask_0,CategoryMask_1,SpellRank_0,SpellRank_1,SpellRank_2,SpellRank_3,SpellRank_4,SpellRank_5,SpellRank_6,SpellRank_7,SpellRank_8,PrereqTalent_0,PrereqTalent_1,PrereqTalent_2,PrereqRank_0,PrereqRank_1,PrereqRank_2
181,,1,0,2,181,0,0,0,0,0,0,0,13705,13832,13843,13844,13845,0,0,0,0,0,0,0,0,0,0
182,,3,0,1,181,0,0,0,0,0,0,0,13706,13804,13805,13806,13807,0,0,0,0,0,0,0,0,0,0
183,,4,0,3,181,0,0,0,0,0,0,0,13707,13966,13967,13968,13969,0,0,0,0,0,0,0,0,0,0
184,,4,0,0,181,0,0,0,0,0,0,0,13709,13800,13801,13802,13803,0,0,0,0,0,0,0,0,0,0
186,,0,0,2,181,0,0,0,0,0,0,0,13712,13788,13789,13790,13791,0,0,0,0,0,0,0,0,0,0
187,,1,0,1,181,0,0,0,0,0,0,0,13713,13853,13854,13855,13856,0,0,0,0,0,0,0,0,0,0
201,,0,0,1,181,0,0,0,0,0,0,0,13732,13863,0,0,0,0,0,0,0,0,0,0,0,0,0
202,,1,0,0,181,0,0,0,0,0,0,0,13733,13865,13866,0,0,0,0,0,0,0,0,0,0,0,0
203,,0,0,0,181,0,0,0,0,0,0,0,13741,13793,13792,0,0,0,0,0,0,0,0,0,0,0,0
204,,2,0,0,181,0,0,0,0,0,0,0,13742,13872,0,0,0,0,0,0,0,0,0,0,0,0,0
205,,6,1,1,181,0,0,0,0,0,0,0,13750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,,3,0,0,181,0,0,0,0,0,0,0,13754,13867,0,0,0,0,0,0,0,0,0,0,0,0,0
221,,3,0,2,181,0,0,0,0,0,0,0,13715,13848,13849,13851,13852,0,0,0,0,181,0,0,4,0,0
222,,2,0,3,181,0,0,0,0,0,0,0,13743,13875,0,0,0,0,0,0,0,0,0,0,0,0,0
223,,4,1,1,181,0,0,0,0,0,0,0,13877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,,0,0,1,183,0,0,0,0,0,0,0,13958,13970,13971,13972,13973,0,0,0,0,0,0,0,0,0,0
242,,4,0,2,181,0,0,0,0,0,0,0,13960,13961,13962,13963,13964,0,0,0,0,0,0,0,0,0,0
244,,1,0,2,183,0,0,0,0,0,0,0,13975,14062,14063,14064,14065,0,0,0,0,0,0,0,0,0,0
245,,2,0,0,183,0,0,0,0,0,0,0,13976,13979,13980,0,0,0,0,0,0,0,0,0,0,0,0
246,,3,0,0,183,0,0,0,0,0,0,0,13983,14070,14071,0,0,0,0,0,0,0,0,0,0,0,0
247,,1,0,1,183,0,0,0,0,0,0,0,13981,14066,0,0,0,0,0,0,0,0,0,0,0,0,0
261,,0,0,2,183,0,0,0,0,0,0,0,14057,14072,14073,14074,14075,0,0,0,0,0,0,0,0,0,0
262,,3,0,1,183,0,0,0,0,0,0,0,14076,14094,14095,0,0,0,0,0,0,0,0,0,0,0,0
263,,2,0,2,183,0,0,0,0,0,0,0,14079,14080,14081,0,0,0,0,0,0,0,0,0,0,0,0
265,,4,0,2,183,0,0,0,0,0,0,0,14082,14083,0,0,0,0,0,0,0,0,0,0,0,0,0
268,,3,0,2,182,0,0,0,0,0,0,0,14113,14114,14115,14116,14117,0,0,0,0,0,0,0,0,0,0
269,,2,0,2,182,0,0,0,0,0,0,0,14128,14132,14135,14136,14137,0,0,0,0,270,0,0,4,0,0
270,,0,0,2,182,0,0,0,0,0,0,0,14138,14139,14140,14141,14142,0,0,0,0,0,0,0,0,0,0
272,,0,0,1,182,0,0,0,0,0,0,0,14144,14148,0,0,0,0,0,0,0,0,0,0,0,0,0
273,,1,0,0,182,0,0,0,0,0,0,0,14156,14160,14161,0,0,0,0,0,0,0,0,0,0,0,0
274,,1,0,1,182,0,0,0,0,0,0,0,14158,14159,0,0,0,0,0,0,0,0,0,0,0,0,0
276,,0,0,0,182,0,0,0,0,0,0,0,14162,14163,14164,0,0,0,0,0,0,0,0,0,0,0,0
277,,1,0,3,182,0,0,0,0,0,0,0,14165,14166,14167,0,0,0,0,0,0,0,0,0,0,0,0
278,,2,0,1,182,0,0,0,0,0,0,0,14168,14169,0,0,0,0,0,0,0,0,0,0,0,0,0
279,,4,0,2,182,0,0,0,0,0,0,0,14174,14175,14176,0,0,0,0,0,0,0,0,0,0,0,0
280,,4,1,1,182,0,0,0,0,0,0,0,14177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,,2,1,0,182,0,0,0,0,0,0,0,14179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,,5,0,1,182,0,0,0,0,0,0,0,14186,14190,14193,14194,14195,0,0,0,0,280,0,0,0,0,0
284,,4,1,1,183,0,0,0,0,0,0,0,14185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,,2,1,1,181,0,0,0,0,0,0,0,14251,0,0,0,0,0,0,0,0,187,0,0,4,0,0
303,,2,1,1,183,0,0,0,0,0,0,0,14278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,,1,0,3,201,0,0,0,0,0,0,0,14531,14774,0,0,0,0,0,0,0,0,0,0,0,0,0
322,,6,1,1,201,0,0,0,0,0,0,0,10060,0,0,0,0,0,0,0,0,1201,0,0,4,0,0
341,,3,0,1,201,0,0,0,0,0,0,0,14520,14780,14781,14782,14783,0,0,0,0,0,0,0,0,0,0
342,,0,0,1,201,0,0,0,0,0,0,0,14522,14788,14789,14790,14791,0,0,0,0,0,0,0,0,0,0
343,,1,0,2,201,0,0,0,0,0,0,0,14748,14768,14769,0,0,0,0,0,0,0,0,0,0,0,0
344,,1,0,1,201,0,0,0,0,0,0,0,14749,14767,0,0,0,0,0,0,0,0,0,0,0,0,0
345,,0,0,2,201,0,0,0,0,0,0,0,14524,14525,14526,14527,14528,0,0,0,0,0,0,0,0,0,0
346,,3,0,0,201,0,0,0,0,0,0,0,14747,14770,14771,0,0,0,0,0,0,0,0,0,0,0,0
347,,2,0,2,201,0,0,0,0,0,0,0,14521,14776,14777,0,0,0,0,0,0,0,0,0,0,0,0
348,,2,1,1,201,0,0,0,0,0,0,0,14751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,,3,0,3,201,0,0,0,0,0,0,0,14750,14772,0,0,0,0,0,0,0,0,0,0,0,0,0
351,,4,1,2,201,0,0,0,0,0,0,0,14752,0,0,0,0,0,0,0,0,347,0,0,2,0,0
352,,1,0,0,201,0,0,0,0,0,0,0,14523,14784,14785,14786,14787,0,0,0,0,0,0,0,0,0,0
361,,2,0,3,202,0,0,0,0,0,0,0,14892,15362,15363,0,0,0,0,0,0,0,0,0,0,0,0
381,,6,1,1,183,0,0,0,0,0,0,0,14183,0,0,0,0,0,0,0,0,284,0,0,0,0,0
382,,6,0,1,182,0,0,0,0,0,0,0,14983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,,0,0,2,202,0,0,0,0,0,0,0,14889,15008,15009,15010,15011,0,0,0,0,0,0,0,0,0,0
402,,4,0,2,202,0,0,0,0,0,0,0,14901,15028,15029,15030,15031,0,0,0,0,0,0,0,0,0,0
403,,3,0,2,202,0,0,0,0,0,0,0,14909,15017,0,0,0,0,0,0,0,1181,0,0,4,0,0
404,,5,0,2,202,0,0,0,0,0,0,0,14898,15349,15354,15355,15356,0,0,0,0,0,0,0,0,0,0
406,,0,0,1,202,0,0,0,0,0,0,0,14908,15020,17191,0,0,0,0,0,0,0,0,0,0,0,0
408,,3,0,1,202,0,0,0,0,0,0,0,14912,15013,15014,0,0,0,0,0,0,0,0,0,0,0,0
410,,0,0,0,202,0,0,0,0,0,0,0,14913,15012,0,0,0,0,0,0,0,0,0,0,0,0,0
411,,1,0,1,202,0,0,0,0,0,0,0,27900,27901,27902,27903,27904,0,0,0,0,0,0,0,0,0,0
413,,4,0,0,202,0,0,0,0,0,0,0,14911,15018,0,0,0,0,0,0,0,0,0,0,0,0,0
442,,2,1,0,202,0,0,0,0,0,0,0,15237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,,3,0,3,203,0,0,0,0,0,0,0,15257,15331,15332,15333,15334,0,0,0,0,0,0,0,0,0,0
462,,5,0,2,203,0,0,0,0,0,0,0,15259,15307,15308,15309,15310,0,0,0,0,0,0,0,0,0,0
463,,1,0,2,203,0,0,0,0,0,0,0,15260,15327,15328,15329,15330,0,0,0,0,0,0,0,0,0,0
464,,0,0,2,203,0,0,0,0,0,0,0,15268,15323,15324,15325,15326,0,0,0,0,0,0,0,0,0,0
465,,0,0,1,203,0,0,0,0,0,0,0,15270,15335,15336,15337,15338,0,0,0,0,0,0,0,0,0,0
466,,1,0,0,203,0,0,0,0,0,0,0,15318,15272,15320,0,0,0,0,0,0,0,0,0,0,0,0
481,,2,0,1,203,0,0,0,0,0,0,0,15273,15312,15313,15314,15316,0,0,0,0,0,0,0,0,0,0
482,,1,0,1,203,0,0,0,0,0,0,0,15275,15317,0,0,0,0,0,0,0,0,0,0,0,0,0
483,,3,0,1,203,0,0,0,0,0,0,0,15274,15311,0,0,0,0,0,0,0,0,0,0,0,0,0
484,,4,1,1,203,0,0,0,0,0,0,0,15286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,,2,1,2,203,0,0,0,0,0,0,0,15407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,,6,1,1,203,0,0,0,0,0,0,0,15473,0,0,0,0,0,0,0,0,484,0,0,0,0,0
541,,4,1,0,203,0,0,0,0,0,0,0,15487,0,0,0,0,0,0,0,0,542,0,0,1,0,0
542,,2,0,0,203,0,0,0,0,0,0,0,15392,15448,0,0,0,0,0,0,0,0,0,0,0,0,0
561,,1,0,2,261,0,0,0,0,0,0,0,16038,16160,16161,0,0,0,0,0,0,0,0,0,0,0,0
562,,2,0,2,261,0,0,0,0,0,0,0,16041,16117,16118,16119,16120,0,0,0,0,0,0,0,0,0,0
563,,0,0,2,261,0,0,0,0,0,0,0,16035,16105,16106,16107,16108,0,0,0,0,0,0,0,0,0,0
564,,0,0,1,261,0,0,0,0,0,0,0,16039,16109,16110,16111,16112,0,0,0,0,0,0,0,0,0,0
565,,4,0,1,261,0,0,0,0,0,0,0,16089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,,3,0,0,261,0,0,0,0,0,0,0,16086,16544,0,0,0,0,0,0,0,0,0,0,0,0,0
572,,1,0,0,261,0,0,0,0,0,0,0,16043,16130,0,0,0,0,0,0,0,0,0,0,0,0,0
573,,6,1,1,261,0,0,0,0,0,0,0,16166,0,0,0,0,0,0,0,0,565,0,0,0,0,0
574,,2,1,0,261,0,0,0,0,0,0,0,16164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,,2,0,1,261,0,0,0,0,0,0,0,16040,16113,16114,16115,16116,0,0,0,0,0,0,0,0,0,0
581,,1,0,1,262,0,0,0,0,0,0,0,16176,16235,16240,0,0,0,0,0,0,0,0,0,0,0,0
582,,2,0,2,262,0,0,0,0,0,0,0,16189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,,2,0,0,262,0,0,0,0,0,0,0,16180,16196,16198,0,0,0,0,0,0,0,0,0,0,0,0
586,,0,0,1,262,0,0,0,0,0,0,0,16182,16226,16227,16228,16229,0,0,0,0,0,0,0,0,0,0
587,,2,0,1,262,0,0,0,0,0,0,0,16181,16230,16232,16233,16234,0,0,0,0,0,0,0,0,0,0
588,,3,0,1,262,0,0,0,0,0,0,0,16187,16205,16206,16207,16208,0,0,0,0,0,0,0,0,0,0
589,,1,0,0,262,0,0,0,0,0,0,0,16184,16209,0,0,0,0,0,0,0,0,0,0,0,0,0
590,,6,1,1,262,0,0,0,0,0,0,0,16190,0,0,0,0,0,0,0,0,588,0,0,4,0,0
591,,4,1,2,262,0,0,0,0,0,0,0,16188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,,5,0,2,262,0,0,0,0,0,0,0,16178,16210,16211,16212,16213,0,0,0,0,0,0,0,0,0,0
593,,0,0,2,262,0,0,0,0,0,0,0,16179,16214,16215,16216,16217,0,0,0,0,0,0,0,0,0,0
594,,3,0,2,262,0,0,0,0,0,0,0,16194,16218,16219,16220,16221,0,0,0,0,0,0,0,0,0,0
595,,1,0,2,262,0,0,0,0,0,0,0,16173,16222,16223,16224,16225,0,0,0,0,0,0,0,0,0,0
601,,2,0,3,263,0,0,0,0,0,0,0,16254,16271,16272,16273,16274,0,0,0,0,0,0,0,0,0,0
602,,3,0,1,263,0,0,0,0,0,0,0,16256,16281,16282,16283,16284,0,0,0,0,613,0,0,4,0,0
605,,1,0,2,263,0,0,0,0,0,0,0,16262,16287,0,0,0,0,0,0,0,0,0,0,0,0,0
607,,1,0,3,263,0,0,0,0,0,0,0,16261,16290,16291,0,0,0,0,0,0,0,0,0,0,0,0
609,,1,0,0,263,0,0,0,0,0,0,0,16258,16293,0,0,0,0,0,0,0,0,0,0,0,0,0
610,,2,0,0,263,0,0,0,0,0,0,0,16259,16295,0,0,0,0,0,0,0,0,0,0,0,0,0
